project_name,project_type,pct_complete,project_budget,project_start,construction_start,project_completion,project_page,project_budget_error_flag,project_status
10th Street (TCC),Traffic Signals,,,,,,http://renewatlantabond.com/project/10th-street-2/,TRUE,Not Started
10th Street,Roadways,0.01,740845.0,2016-04-01,2016-06-01,2017-02-01,http://renewatlantabond.com/project/10th-street-3/,FALSE,In Process
14th Street (TCC),Traffic Signals,,467532.0,2016-06-01,2017-10-01,2018-10-01,http://renewatlantabond.com/project/14th-street-2/,FALSE,Not Started
"14th Street, Phase 3",Roadways,,353805.0,2016-05-01,2017-08-01,2017-10-01,http://renewatlantabond.com/project/14th-street-3/,FALSE,Not Started
"14th Street, Phase 2",Roadways,,286105.0,2016-05-01,2017-07-01,2017-09-01,http://renewatlantabond.com/project/14th-street-5/,FALSE,Not Started
14th Street @ Howell Mill Road,Traffic Signals,0.12,2e5,2015-08-01,2017-07-01,2018-06-01,http://renewatlantabond.com/project/14th-street-howell-mill-road-2/,FALSE,In Process
"14th Street, Phase 1",Roadways,,308695.0,2016-01-01,2018-01-01,2018-03-01,http://renewatlantabond.com/project/14th-street-phase-1/,FALSE,Not Started
18th Street,Roadways,,77725.0,2016-07-01,2017-07-01,2017-11-01,http://renewatlantabond.com/project/18th-street/,FALSE,Not Started
2 City Plaza,Public Buildings,0.9500000000000001,275705.0,2015-06-01,2015-06-01,2016-07-01,http://renewatlantabond.com/project/2-city-plaza-2/,FALSE,In Process
6th Street,Roadways,,28e4,2016-03-01,2018-03-01,2018-09-01,http://renewatlantabond.com/project/6th-street/,FALSE,Not Started
"8th Street, Phase 2",Roadways,,190555.0,2016-07-01,2018-04-01,2018-06-01,http://renewatlantabond.com/project/8th-street-phase-2/,FALSE,Not Started
"8th Street, Phase 1",Roadways,,129785.0,2016-07-01,2017-06-01,2017-08-01,http://renewatlantabond.com/project/8th-street/,FALSE,Not Started
AD Williams Recreation Center,Parks and Recreation,,,,,,http://renewatlantabond.com/project/ad-williams-rec-center/,TRUE,Not Started
ADA Ramp & Sidewalk Replacement Program,ADA and Sidewalks,0.01,485e4,2016-04-01,2016-04-01,2016-08-01,http://renewatlantabond.com/project/ada-ramp-sidewalk-replacement-program/,FALSE,In Process
Fire Station 5,Public Safety,0.01,23e4,2015-09-01,2016-05-01,2017-02-01,http://renewatlantabond.com/project/ada-upgrades-airvac-kitchen-renovations-and-structural-repairs-lighting-repairs/,FALSE,In Process
Fire Station 4,Public Safety,,318868.0,2015-09-01,2015-09-01,2018-02-01,http://renewatlantabond.com/project/ada-upgrades-airvac-kitchen-renovations-and-structural-repairs/,FALSE,Not Started
Fire Station 23,Public Safety,0.01,138e3,2015-09-01,2016-04-01,2018-03-01,http://renewatlantabond.com/project/ada-upgrades-airvac-kitchen-renovations-interiorexterior-finishes-lighting-repairs-2/,FALSE,In Process
Fire Station 31,Public Safety,,465018.0,2015-10-01,2015-10-01,2017-06-01,http://renewatlantabond.com/project/ada-upgrades-airvac-kitchen-renovations-roof-repairs-interiorexterior-finishes-hvac-controls-locker-upgrades-10/,FALSE,Not Started
Fire Station 19,Public Safety,,605201.0,2015-09-01,2015-09-01,2017-11-01,http://renewatlantabond.com/project/ada-upgrades-airvac-kitchen-renovations-roof-repairs-interiorexterior-finishes-hvac-controls-locker-upgrades-2/,FALSE,Not Started
Fire Station 10,Public Safety,0.05,694851.0,2015-09-01,2016-03-01,2017-08-01,http://renewatlantabond.com/project/ada-upgrades-airvac-kitchen-renovations-roof-repairs-interiorexterior-finishes-hvac-controls-locker-upgrades-3/,FALSE,In Process
Fire Station 20,Public Safety,0.01,2e5,2015-09-01,2016-04-01,2017-07-01,http://renewatlantabond.com/project/ada-upgrades-airvac-kitchen-renovations-roof-repairs-interiorexterior-finishes-hvac-controls-locker-upgrades-4/,FALSE,In Process
Fire Station 8,Public Safety,0.01,307328.0,2015-09-01,2016-04-01,2017-03-01,http://renewatlantabond.com/project/ada-upgrades-airvac-kitchen-renovations-roof-repairs-interiorexterior-finishes-hvac-controls-locker-upgrades-5/,FALSE,In Process
Fire Station 12,Public Safety,0.05,351328.0,2015-09-01,2016-03-01,2017-09-01,http://renewatlantabond.com/project/ada-upgrades-airvac-kitchen-renovations-roof-repairs-interiorexterior-finishes-hvac-controls-locker-upgrades-6/,FALSE,In Process
Fire Station 1,Public Safety,,618450.0,2015-10-01,2015-10-01,2017-10-01,http://renewatlantabond.com/project/ada-upgrades-airvac-kitchen-renovations-roof-repairs-interiorexterior-finishes-hvac-controls-locker-upgrades-7/,FALSE,Not Started
Fire Station 14,Public Safety,0.01,962762.0,2015-09-01,2016-08-01,2017-09-01,http://renewatlantabond.com/project/ada-upgrades-airvac-kitchen-renovations-roof-repairs-interiorexterior-finishes-hvac-controls-locker-upgrades-8/,FALSE,In Process
Fire Station 21,Public Safety,0.01,455963.0,2015-09-01,2016-04-01,2018-03-01,http://renewatlantabond.com/project/ada-upgrades-airvac-kitchen-renovations-roof-repairs-interiorexterior-finishes-hvac-controls-locker-upgrades-9/,FALSE,In Process
Fire Station 2,Public Safety,0.01,645149.0,2015-09-01,2016-05-01,2016-12-01,http://renewatlantabond.com/project/ada-upgrades-airvac-kitchen-renovations-roof-repairs-interiorexterior-finishes-hvac-controls-locker-upgrades/,FALSE,In Process
Zone 4 Police Precinct,Public Safety,,129151.0,2016-01-01,2016-01-01,2017-06-01,http://renewatlantabond.com/project/ada-upgrades-hvac-and-plumbing-exterior-lighting/,FALSE,Not Started
Fire Station 29,Public Safety,0.06,282328.0,2015-09-01,2016-03-01,2017-10-01,http://renewatlantabond.com/project/ada-upgrades-plumbing-repairs-and-hvac-controls/,FALSE,In Process
Adams Park,,,,,,,http://renewatlantabond.com/project/adams-park/,TRUE,Not Started
Adamsville Recreation Center,Parks and Recreation,,,,,,http://renewatlantabond.com/project/adamsville-rec-center/,TRUE,Not Started
Alonzo Crim High School,School Zone Beacons,1.0,11295.0,2015-11-01,2016-06-01,2016-09-01,http://renewatlantabond.com/project/alonzo-crim-high-school-burgess%e2%80%90-peterson-academy/,FALSE,Completed
Alston Drive @ Candler Road,Traffic Signals,0.02,2e5,2016-04-01,2017-12-01,2018-12-01,http://renewatlantabond.com/project/alston-drive-candler-road-2/,FALSE,In Process
Alvarado Terrace,Roadways,1.0,41585.0,2015-06-01,2015-08-01,2017-02-01,http://renewatlantabond.com/project/alvarado-terrace/,FALSE,Completed
Anchored Sail,,,,,,,http://renewatlantabond.com/project/anchored-sail/,TRUE,Not Started
Andrew Young Tribute Plaza,Public Art Program,,77e3,2015-03-01,2015-03-01,2017-07-01,http://renewatlantabond.com/project/andrew-young-tribute-plaza/,FALSE,Not Started
Architect For the Future,,,,,,,http://renewatlantabond.com/project/architect-for-the-future/,TRUE,Not Started
Ardley Road,Roadways,1.0,41865.0,2015-06-01,2015-08-01,2017-02-01,http://renewatlantabond.com/project/ardley-road/,FALSE,Completed
Ardwick Court,Roadways,0.98,16340.0,2016-04-01,2016-04-01,2017-02-01,http://renewatlantabond.com/project/ardwick-court/,FALSE,In Process
Atlanta Avenue (TCC),Traffic Signals,,525974.0,2016-04-01,2017-12-01,2018-12-01,http://renewatlantabond.com/project/atlanta-avenue-tcc/,FALSE,Not Started
Atlanta Classical Academy,School Zone Beacons,1.0,11295.0,2015-11-01,2016-06-01,2016-09-01,http://renewatlantabond.com/project/atlanta-classical-academy/,FALSE,Completed
Atlanta From the Ashes,,,,,,,http://renewatlantabond.com/project/atlanta-from-the-ashes/,TRUE,Not Started
Auburn Historical Plaques,,,,,,,http://renewatlantabond.com/project/auburn-historical-plaques/,TRUE,Not Started
